Temperature (Celsius),Species,strain_ID,Week,Plate,Growth
15,Suillus lakei,Suilla ,1,1,0.499
15,Suillus lakei,Suilla ,1,2,0.712
15,Suillus lakei,Suilla ,1,3,0.724
15,Suillus lakei,Suilla ,1,4,0.673
15,Suillus lakei,Suilla ,1,5,0.717
15,Suillus lakei,Suilla ,1,6,0.577
15,Suillus lakei,Suilla ,3,1,0.499
15,Suillus lakei,Suilla ,3,2,0.712
15,Suillus lakei,Suilla ,3,3,0.724
15,Suillus lakei,Suilla ,3,4,0.673
15,Suillus lakei,Suilla ,3,5,0.717
15,Suillus lakei,Suilla ,3,6,0.577
15,Suillus lakei,Suilla ,4,1,0.499
15,Suillus lakei,Suilla ,4,2,0.712
15,Suillus lakei,Suilla ,4,3,0.724
15,Suillus lakei,Suilla ,4,4,0.673
15,Suillus lakei,Suilla ,4,5,0.717
15,Suillus lakei,Suilla ,4,6,0.577
15,Suillus lakei,Suilla ,5,1,0.499
15,Suillus lakei,Suilla ,5,2,0.712
15,Suillus lakei,Suilla ,5,3,0.724
15,Suillus lakei,Suilla ,5,4,0.673
15,Suillus lakei,Suilla ,5,5,0.717
15,Suillus lakei,Suilla ,5,6,0.577
15,Suillus lakei,Suilla ,6,1,2.892
15,Suillus lakei,Suilla ,6,2,2.389
15,Suillus lakei,Suilla ,6,3,1.480
15,Suillus lakei,Suilla ,6,4,1.866
15,Suillus lakei,Suilla ,6,5,0.717
15,Suillus lakei,Suilla ,6,6,1.723
15,Suillus lakei,SL08,1,1,0.687
15,Suillus lakei,SL08,1,2,0.748
15,Suillus lakei,SL08,1,3,0.770
15,Suillus lakei,SL08,1,4,0.723
15,Suillus lakei,SL08,1,5,0.669
15,Suillus lakei,SL08,1,6,0.693
15,Suillus lakei,SL08,3,1,1.990
15,Suillus lakei,SL08,3,2,2.495
15,Suillus lakei,SL08,3,3,2.655
15,Suillus lakei,SL08,3,4,2.352
15,Suillus lakei,SL08,3,5,2.191
15,Suillus lakei,SL08,3,6,2.448
15,Suillus lakei,SL08,4,1,3.614
15,Suillus lakei,SL08,4,2,4.293
15,Suillus lakei,SL08,4,3,4.821
15,Suillus lakei,SL08,4,4,3.970
15,Suillus lakei,SL08,4,5,3.961
15,Suillus lakei,SL08,4,6,4.191
15,Suillus lakei,SL08,5,1,5.956
15,Suillus lakei,SL08,5,2,6.780
15,Suillus lakei,SL08,5,3,7.932
15,Suillus lakei,SL08,5,4,6.564
15,Suillus lakei,SL08,5,5,6.880
15,Suillus lakei,SL08,5,6,7.318
15,Suillus lakei,SL10,1,1,0.764
15,Suillus lakei,SL10,1,2,0.770
15,Suillus lakei,SL10,1,3,0.713
15,Suillus lakei,SL10,1,4,0.761
15,Suillus lakei,SL10,1,5,0.792
15,Suillus lakei,SL10,1,6,0.845
15,Suillus lakei,SL10,3,1,2.402
15,Suillus lakei,SL10,3,2,2.491
15,Suillus lakei,SL10,3,3,3.278
15,Suillus lakei,SL10,3,4,2.464
15,Suillus lakei,SL10,3,5,2.567
15,Suillus lakei,SL10,3,6,2.448
15,Suillus lakei,SL10,4,1,4.204
15,Suillus lakei,SL10,4,2,4.431
15,Suillus lakei,SL10,4,3,5.423
15,Suillus lakei,SL10,4,4,4.458
15,Suillus lakei,SL10,4,5,4.984
15,Suillus lakei,SL10,4,6,4.195
15,Suillus lakei,SL10,5,1,6.636
15,Suillus lakei,SL10,5,2,7.674
15,Suillus lakei,SL10,5,3,7.716
15,Suillus lakei,SL10,5,4,7.475
